# taps installed F1
[MHB] F100 pc=40885EFC slot_hits=0 super_hits=0
[MHB] F200 pc=408469C6 slot_hits=0 super_hits=0
[MHB] F300 pc=40847360 slot_hits=0 super_hits=0
[MHB] F400 pc=40814926 slot_hits=0 super_hits=0
[slot] F400 pc=40806074 addr=FEFF02A8 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF02AC data=00000024 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF02B0 data=00000002 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF02B4 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF02B8 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF02BC data=00000028 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF02C0 data=00000020 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF02C4 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF02C8 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF02CC data=00000027 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF02D0 data=00000022 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF02D4 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF02D8 data=0000002B mask=000000FF
[slot] F400 pc=40806074 addr=FEFF02DC data=00000042 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF02E0 data=00000024 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF02E4 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF02E8 data=00000001 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF02EC data=000000C4 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF02F0 data=00000026 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF02F4 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF02F8 data=00000030 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF02FC data=0000004A mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0300 data=00000041 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0304 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0308 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF030C data=0000002C mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0310 data=0000007E mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0314 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0318 data=00000010 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF031C data=0000004E mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0320 data=000000FF mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0324 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0328 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF032C data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0330 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0334 data=00000001 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0338 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF033C data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0340 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0344 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0348 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF034C data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0350 data=0000004D mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0354 data=00000061 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0358 data=00000063 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF035C data=00000069 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0360 data=0000006E mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0364 data=00000074 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0368 data=0000006F mask=000000FF
[slot] F400 pc=40806074 addr=FEFF036C data=00000073 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0370 data=00000068 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0374 data=00000020 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0378 data=00000044 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF037C data=00000069 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0380 data=00000073 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0384 data=00000070 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0388 data=0000006C mask=000000FF
[slot] F400 pc=40806074 addr=FEFF038C data=00000061 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0390 data=00000079 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0394 data=00000020 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0398 data=00000043 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF039C data=00000061 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF03A0 data=00000072 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF03A4 data=00000064 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF03A8 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF03AC data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF03B0 data=00000080 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF03B4 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF03B8 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF03BC data=000000BE mask=000000FF
[slot] F400 pc=40806074 addr=FEFF03C0 data=00000081 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF03C4 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF03C8 data=00000001 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF03CC data=00000006 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF03D0 data=00000082 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF03D4 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF03D8 data=00000001 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF03DC data=00000072 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF03E0 data=00000083 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF03E4 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF03E8 data=00000001 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF03EC data=00000036 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF03F0 data=00000084 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF03F4 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF03F8 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF03FC data=000000D2 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0400 data=00000085 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0404 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0408 data=00000001 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF040C data=00000012 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0410 data=00000086 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0414 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0418 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF041C data=0000008C mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0420 data=00000087 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0424 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0428 data=00000001 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF042C data=00000042 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0430 data=00000088 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0434 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0438 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF043C data=000000B0 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0440 data=0000008C mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0444 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0448 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF044C data=000000D2 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0450 data=00000090 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0454 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0458 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF045C data=00000096 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0460 data=00000091 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0464 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0468 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF046C data=000000DE mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0470 data=00000092 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0474 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0478 data=00000001 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF047C data=0000004A mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0480 data=00000093 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0484 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0488 data=00000001 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF048C data=0000000E mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0490 data=00000094 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0494 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0498 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF049C data=000000AA mask=000000FF
[slot] F400 pc=40806074 addr=FEFF04A0 data=00000095 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF04A4 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF04A8 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF04AC data=000000EA mask=000000FF
[slot] F400 pc=40806074 addr=FEFF04B0 data=00000096 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF04B4 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF04B8 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF04BC data=00000064 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF04C0 data=00000097 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF04C4 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF04C8 data=00000001 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF04CC data=0000001A mask=000000FF
[slot] F400 pc=40806074 addr=FEFF04D0 data=00000098 mask=000000FF
